Start Date,Start Time,Date,Time,Miles,Purpose,Income source,From,To,Notes,Original_File
1/3/24,2:34:28 PM,1/3/24,3:21:09 PM,13.02,b,,"2608 196th St SW, Lynnwood, WA 98036, USA","4309 198th St SW, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_03_2024_12_00am_PST-01_04_2024_12_00am_PST.csv
1/3/24,3:33:03 PM,1/3/24,3:51:21 PM,3,b,,"4309 198th St SW, Lynnwood, WA 98036, USA","18205 Alderwood Mall Pkwy, Lynnwood, WA 98037, USA",2013 Toyota Prius (New),business_personal_trip_log_01_03_2024_12_00am_PST-01_04_2024_12_00am_PST.csv
1/3/24,4:04:32 PM,1/3/24,4:24:11 PM,5,b,,"18205 Alderwood Mall Pkwy, Lynnwood, WA 98037, USA","3000 184th St SW, Lynnwood, WA 98037, USA",2013 Toyota Prius (New),business_personal_trip_log_01_03_2024_12_00am_PST-01_04_2024_12_00am_PST.csv
1/3/24,4:30:48 PM,1/3/24,4:32:44 PM,0,b,,"3000 184th St SW, Lynnwood, WA 98037, USA","18920 28 W, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_03_2024_12_00am_PST-01_04_2024_12_00am_PST.csv
1/3/24,4:38:00 PM,1/3/24,4:44:01 PM,1,b,,"18920 28 W, Lynnwood, WA 98036, USA","2701 184th St SW, Lynnwood, WA 98037, USA",2013 Toyota Prius (New),business_personal_trip_log_01_03_2024_12_00am_PST-01_04_2024_12_00am_PST.csv
1/3/24,4:46:23 PM,1/3/24,4:51:28 PM,2,b,,"2701 184th St SW, Lynnwood, WA 98037, USA","16605 Ash Way, Lynnwood, WA 98037, USA",2013 Toyota Prius (New),business_personal_trip_log_01_03_2024_12_00am_PST-01_04_2024_12_00am_PST.csv
1/3/24,4:54:57 PM,1/3/24,5:17:29 PM,5.05,b,,"16216 Ash Way, Lynnwood, WA 98087, USA","16327 Ash Way, Lynnwood, WA 98087, USA",2013 Toyota Prius (New),business_personal_trip_log_01_03_2024_12_00am_PST-01_04_2024_12_00am_PST.csv
1/3/24,5:23:43 PM,1/3/24,6:10:13 PM,13.11,b,,"16327 Ash Way, Lynnwood, WA 98087, USA","20019 6 W, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_03_2024_12_00am_PST-01_04_2024_12_00am_PST.csv
1/4/24,9:12:34 AM,1/4/24,9:27:55 AM,8,p,,"20019 6 W, Lynnwood, WA 98036, USA","10601 47th Pl W, Mukilteo, WA 98275, USA",2013 Toyota Prius (New),business_personal_trip_log_01_04_2024_12_00am_PST-01_05_2024_12_00am_PST.csv
1/4/24,10:54:46 AM,1/4/24,11:14:47 AM,7.04,b,,"10601 47th Pl W, Mukilteo, WA 98275, USA","7920 Evergreen Way, Everett, WA 98203, USA",2013 Toyota Prius (New),business_personal_trip_log_01_04_2024_12_00am_PST-01_05_2024_12_00am_PST.csv
1/4/24,11:18:14 AM,1/4/24,11:52:51 AM,16.02,b,,"7920 Evergreen Way, Everett, WA 98203, USA","2608 196th St SW, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_04_2024_12_00am_PST-01_05_2024_12_00am_PST.csv
1/4/24,12:00:57 PM,1/4/24,12:01:17 PM,0.01,b,,"2608 196th St SW, Lynnwood, WA 98036, USA","2608 196th St SW, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_04_2024_12_00am_PST-01_05_2024_12_00am_PST.csv
1/4/24,12:24:54 PM,1/4/24,12:43:46 PM,5,b,,"2608 196th St SW, Lynnwood, WA 98036, USA","18606 Alderwood Mall Pkwy, Lynnwood, WA 98037, USA",2013 Toyota Prius (New),business_personal_trip_log_01_04_2024_12_00am_PST-01_05_2024_12_00am_PST.csv
1/4/24,1:25:44 PM,1/4/24,1:42:58 PM,4,b,,"18606 Alderwood Mall Pkwy, Lynnwood, WA 98037, USA","1012 164th St SE, Mill Creek, WA 98012, USA",2013 Toyota Prius (New),business_personal_trip_log_01_04_2024_12_00am_PST-01_05_2024_12_00am_PST.csv
1/4/24,1:45:16 PM,1/4/24,1:54:25 PM,3.03,b,,"16317 Bothell Everett Hwy, Bothell, WA 98012, USA","13416 Bothell Everett Hwy, Mill Creek, WA 98012, USA",2013 Toyota Prius (New),business_personal_trip_log_01_04_2024_12_00am_PST-01_05_2024_12_00am_PST.csv
1/4/24,2:00:14 PM,1/4/24,2:01:31 PM,0,b,,"13314 Bothell Everett Hwy, Mill Creek, WA 98012, USA","13300 Bothell Everett Hwy, Mill Creek, WA 98012, USA",2013 Toyota Prius (New),business_personal_trip_log_01_04_2024_12_00am_PST-01_05_2024_12_00am_PST.csv
1/4/24,2:15:15 PM,1/4/24,2:29:16 PM,3.01,b,,"13300 Bothell Everett Hwy, Mill Creek, WA 98012, USA","14915 38th Dr SE, Bothell, WA 98012, USA",2013 Toyota Prius (New),business_personal_trip_log_01_04_2024_12_00am_PST-01_05_2024_12_00am_PST.csv
1/4/24,2:36:26 PM,1/4/24,4:41:46 PM,61.21,b,,"14915 38th Dr SE, Bothell, WA 98012, USA","36801 Milton Rd S, Federal Way, WA 98003, USA",2013 Toyota Prius (New),business_personal_trip_log_01_04_2024_12_00am_PST-01_05_2024_12_00am_PST.csv
1/4/24,4:44:11 PM,1/4/24,5:51:59 PM,41.11,b,,"36801 Milton Rd S, Federal Way, WA 98003, USA","20019 6 W, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_04_2024_12_00am_PST-01_05_2024_12_00am_PST.csv
1/5/24,8:54:26 AM,1/5/24,9:03:27 AM,3.02,p,,"20019 6 W, Lynnwood, WA 98036, USA","19220 Alderwood Mall Pkwy, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_05_2024_12_00am_PST-01_06_2024_12_00am_PST.csv
1/5/24,9:11:38 AM,1/5/24,9:47:10 AM,23,p,,"19220 Alderwood Mall Pkwy, Lynnwood, WA 98036, USA","4502 35th Ave SW, Seattle, WA 98126, USA",2013 Toyota Prius (New),business_personal_trip_log_01_05_2024_12_00am_PST-01_06_2024_12_00am_PST.csv
1/5/24,2:49:08 PM,1/5/24,3:49:45 PM,22.01,p,,"4502 35th Ave SW, Seattle, WA 98126, USA","20019 6 W, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_05_2024_12_00am_PST-01_06_2024_12_00am_PST.csv
1/6/24,10:59:29 AM,1/6/24,11:00:03 AM,0.02,p,,"20019 6 W, Lynnwood, WA 98036, USA","20019 6 W, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_06_2024_12_00am_PST-01_07_2024_12_00am_PST.csv
1/6/24,12:57:13 PM,1/6/24,1:26:50 PM,10,b,,"20019 6 W, Lynnwood, WA 98036, USA","2628 196th St SW, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_06_2024_12_00am_PST-01_07_2024_12_00am_PST.csv
1/6/24,1:30:00 PM,1/6/24,1:36:15 PM,1,b,,"2628 196th St SW, Lynnwood, WA 98036, USA","4325 198th St SW, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_06_2024_12_00am_PST-01_07_2024_12_00am_PST.csv
1/6/24,1:40:04 PM,1/6/24,1:43:33 PM,1,b,,"4325 198th St SW, Lynnwood, WA 98036, USA","3026 196th St SW, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_06_2024_12_00am_PST-01_07_2024_12_00am_PST.csv
1/6/24,1:45:33 PM,1/6/24,2:10:54 PM,3,b,,"2131 196th St SW, Lynnwood, WA 98036, USA","3000 184th St SW, Lynnwood, WA 98037, USA",2013 Toyota Prius (New),business_personal_trip_log_01_06_2024_12_00am_PST-01_07_2024_12_00am_PST.csv
1/6/24,2:18:45 PM,1/6/24,2:23:42 PM,1,b,,"3000 184th St SW, Lynnwood, WA 98037, USA","18133 33 W, Lynnwood, WA 98037, USA",2013 Toyota Prius (New),business_personal_trip_log_01_06_2024_12_00am_PST-01_07_2024_12_00am_PST.csv
1/6/24,2:27:47 PM,1/6/24,2:29:17 PM,0,b,,"18133 33rd Ave W, Lynnwood, WA 98037, USA","18133 33rd Ave W, Lynnwood, WA 98037, USA",2013 Toyota Prius (New),business_personal_trip_log_01_06_2024_12_00am_PST-01_07_2024_12_00am_PST.csv
1/6/24,2:40:44 PM,1/6/24,2:43:20 PM,0,b,,"18133 33rd Ave W, Lynnwood, WA 98037, USA","3101 184th St SW, Lynnwood, WA 98037, USA",2013 Toyota Prius (New),business_personal_trip_log_01_06_2024_12_00am_PST-01_07_2024_12_00am_PST.csv
1/6/24,2:46:00 PM,1/6/24,3:00:54 PM,6,b,,"3101 184th St SW, Lynnwood, WA 98037, USA","10800 30th Ave W, Everett, WA 98204, USA",2013 Toyota Prius (New),business_personal_trip_log_01_06_2024_12_00am_PST-01_07_2024_12_00am_PST.csv
1/6/24,3:19:52 PM,1/6/24,3:38:05 PM,5.01,b,,"3121 109th St SW, Everett, WA 98204, USA","3717 Harbour Pointe Blvd SW, Mukilteo, WA 98275, USA",2013 Toyota Prius (New),business_personal_trip_log_01_06_2024_12_00am_PST-01_07_2024_12_00am_PST.csv
1/6/24,3:54:01 PM,1/6/24,5:02:12 PM,22.09,b,,"3717 Harbour Pointe Blvd SW, Mukilteo, WA 98275, USA","20019 6 W, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_06_2024_12_00am_PST-01_07_2024_12_00am_PST.csv
1/6/24,5:10:47 PM,1/6/24,5:23:13 PM,4.01,b,,"20019 6 W, Lynnwood, WA 98036, USA","18109 33 W, Lynnwood, WA 98037, USA",2013 Toyota Prius (New),business_personal_trip_log_01_06_2024_12_00am_PST-01_07_2024_12_00am_PST.csv
1/6/24,5:57:30 PM,1/6/24,6:07:50 PM,3.1,p,,"18109 33 W, Lynnwood, WA 98037, USA","20019 6 W, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_06_2024_12_00am_PST-01_07_2024_12_00am_PST.csv
1/7/24,9:11:45 AM,1/7/24,9:18:53 AM,3,p,,"20019 6 W, Lynnwood, WA 98036, USA","1629 220th St SE, Bothell, WA 98021, USA",2013 Toyota Prius (New),business_personal_trip_log_01_07_2024_12_00am_PST-01_08_2024_12_00am_PST.csv
1/7/24,9:21:05 AM,1/7/24,9:23:46 AM,1,p,,"21927 Bothell Everett Hwy, Bothell, WA 98021, USA","22027 17 SE, Bothell, WA 98021, USA",2013 Toyota Prius (New),business_personal_trip_log_01_07_2024_12_00am_PST-01_08_2024_12_00am_PST.csv
1/7/24,10:37:40 AM,1/7/24,10:47:26 AM,4,p,,"22027 17 SE, Bothell, WA 98021, USA","16304 Bothell Everett Hwy, Mill Creek, WA 98012, USA",2013 Toyota Prius (New),business_personal_trip_log_01_07_2024_12_00am_PST-01_08_2024_12_00am_PST.csv
1/7/24,10:54:04 AM,1/7/24,11:03:29 AM,3.1,p,,"16232 Bothell Everett Hwy, Mill Creek, WA 98012, USA","20019 6 W, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_07_2024_12_00am_PST-01_08_2024_12_00am_PST.csv
1/7/24,5:12:58 PM,1/7/24,7:03:27 PM,36.29,b,,"20025 6 W, Lynnwood, WA 98036, USA","20019 6 W, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_07_2024_12_00am_PST-01_08_2024_12_00am_PST.csv
1/8/24,9:49:13 AM,1/8/24,10:07:35 AM,8,b,,"20019 6 W, Lynnwood, WA 98036, USA","10601 47th Pl W, Mukilteo, WA 98275, USA",2013 Toyota Prius (New),business_personal_trip_log_01_08_2024_12_00am_PST-01_09_2024_12_00am_PST.csv
1/8/24,11:41:01 AM,1/8/24,12:09:59 PM,11.23,p,,"10601 47th Pl W, Mukilteo, WA 98275, USA","20019 6 W, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_08_2024_12_00am_PST-01_09_2024_12_00am_PST.csv
1/8/24,12:55:35 PM,1/8/24,1:29:05 PM,18,b,,"20019 6 W, Lynnwood, WA 98036, USA","212 Westlake Ave N, Seattle, WA 98109, USA",2013 Toyota Prius (New),business_personal_trip_log_01_08_2024_12_00am_PST-01_09_2024_12_00am_PST.csv
1/8/24,1:35:13 PM,1/8/24,1:37:10 PM,1,b,,"215 Westlake Ave N, Seattle, WA 98109, USA","1128P Virginia St, Seattle, WA 98101, USA",2013 Toyota Prius (New),business_personal_trip_log_01_08_2024_12_00am_PST-01_09_2024_12_00am_PST.csv
1/8/24,1:41:58 PM,1/8/24,1:51:47 PM,2,b,,"1915 Yale Ave, Seattle, WA 98102, USA","2807 78th Ave SE, Mercer Island, WA 98040, USA",2013 Toyota Prius (New),business_personal_trip_log_01_08_2024_12_00am_PST-01_09_2024_12_00am_PST.csv
1/8/24,1:57:27 PM,1/8/24,1:57:43 PM,0.01,b,,"2807 78th Ave SE, Mercer Island, WA 98040, USA","2807 78th Ave SE, Mercer Island, WA 98040, USA",2013 Toyota Prius (New),business_personal_trip_log_01_08_2024_12_00am_PST-01_09_2024_12_00am_PST.csv
1/8/24,2:13:08 PM,1/8/24,2:26:19 PM,7,b,,"2807 78th Ave SE, Mercer Island, WA 98040, USA","625 116th Ave NE, Bellevue, WA 98004, USA",2013 Toyota Prius (New),business_personal_trip_log_01_08_2024_12_00am_PST-01_09_2024_12_00am_PST.csv
1/8/24,2:37:41 PM,1/8/24,3:29:56 PM,17,b,,"625 116th Ave NE, Bellevue, WA 98004, USA","12421 Totem Lake Blvd NE, Kirkland, WA 98034, USA",2013 Toyota Prius (New),business_personal_trip_log_01_08_2024_12_00am_PST-01_09_2024_12_00am_PST.csv
1/8/24,3:32:14 PM,1/8/24,4:07:09 PM,11,b,,"12403 NE 124th St, Kirkland, WA 98034, USA","17220 128th Pl NE, Woodinville, WA 98072, USA",2013 Toyota Prius (New),business_personal_trip_log_01_08_2024_12_00am_PST-01_09_2024_12_00am_PST.csv
1/8/24,4:10:09 PM,1/8/24,4:14:56 PM,1,b,,"12229 Woodinville Dr, Bothell, WA 98011, USA","10625 E Riverside Dr, Bothell, WA 98011, USA",2013 Toyota Prius (New),business_personal_trip_log_01_08_2024_12_00am_PST-01_09_2024_12_00am_PST.csv
1/8/24,4:16:56 PM,1/8/24,4:24:00 PM,1,b,,"17617 Eason Ave, Bothell, WA 98011, USA","18806 Bothell Way NE, Bothell, WA 98011, USA",2013 Toyota Prius (New),business_personal_trip_log_01_08_2024_12_00am_PST-01_09_2024_12_00am_PST.csv
1/8/24,4:26:00 PM,1/8/24,4:38:54 PM,5.1,b,,"19306 Bothell Way NE, Bothell, WA 98011, USA","20019 6 W, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_08_2024_12_00am_PST-01_09_2024_12_00am_PST.csv
1/9/24,8:37:29 AM,1/9/24,8:57:13 AM,8.01,p,,"20025 6 W, Lynnwood, WA 98036, USA","14912 Highway 99, Lynnwood, WA 98087, USA",2013 Toyota Prius (New),business_personal_trip_log_01_09_2024_12_00am_PST-01_10_2024_12_00am_PST.csv
1/9/24,10:03:17 AM,1/9/24,10:12:10 AM,4,p,,"14912 Highway 99, Lynnwood, WA 98087, USA","10601 47th Pl W, Mukilteo, WA 98275, USA",2013 Toyota Prius (New),business_personal_trip_log_01_09_2024_12_00am_PST-01_10_2024_12_00am_PST.csv
1/9/24,11:52:41 AM,1/9/24,12:10:11 PM,8,p,,"10601 47th Pl W, Mukilteo, WA 98275, USA","20019 6 W, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_09_2024_12_00am_PST-01_10_2024_12_00am_PST.csv
1/9/24,12:48:10 PM,1/9/24,1:03:48 PM,4,b,,"20019 6 W, Lynnwood, WA 98036, USA","22110 17th Ave SE, Bothell, WA 98021, USA",2013 Toyota Prius (New),business_personal_trip_log_01_09_2024_12_00am_PST-01_10_2024_12_00am_PST.csv
1/9/24,1:51:54 PM,1/9/24,1:57:00 PM,1,b,,"22110 17th Ave SE, Bothell, WA 98021, USA","22021 20th Ave SE, Bothell, WA 98021, USA",2013 Toyota Prius (New),business_personal_trip_log_01_09_2024_12_00am_PST-01_10_2024_12_00am_PST.csv
1/9/24,1:59:00 PM,1/9/24,2:19:04 PM,8.01,b,,"22021 20th Ave SE, Bothell, WA 98021, USA","17214 Highway 99, Lynnwood, WA 98037, USA",2013 Toyota Prius (New),business_personal_trip_log_01_09_2024_12_00am_PST-01_10_2024_12_00am_PST.csv
1/9/24,2:24:15 PM,1/9/24,2:41:57 PM,5,b,,"17214 Highway 99, Lynnwood, WA 98037, USA","21616 76th Ave W, Edmonds, WA 98026, USA",2013 Toyota Prius (New),business_personal_trip_log_01_09_2024_12_00am_PST-01_10_2024_12_00am_PST.csv
1/9/24,3:05:21 PM,1/9/24,3:21:37 PM,4,b,,"21616 76th Ave W, Edmonds, WA 98026, USA","7030 196th St SW, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_09_2024_12_00am_PST-01_10_2024_12_00am_PST.csv
1/9/24,3:23:37 PM,1/9/24,3:32:37 PM,2,b,,"6808 196th St SW, Lynnwood, WA 98036, USA","4010 196th St SW, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_09_2024_12_00am_PST-01_10_2024_12_00am_PST.csv
1/9/24,3:34:49 PM,1/9/24,3:58:56 PM,11.03,b,,"3611 196th St SW, Lynnwood, WA 98036, USA","3322 NE 125th St, Seattle, WA 98125, USA",2013 Toyota Prius (New),business_personal_trip_log_01_09_2024_12_00am_PST-01_10_2024_12_00am_PST.csv
1/9/24,4:06:00 PM,1/9/24,4:09:24 PM,0.03,b,,"3316 NE 125th St, Seattle, WA 98125, USA","12328 Lake City Way NE, Seattle, WA 98125, USA",2013 Toyota Prius (New),business_personal_trip_log_01_09_2024_12_00am_PST-01_10_2024_12_00am_PST.csv
1/9/24,4:30:56 PM,1/9/24,4:45:57 PM,4,b,,"12518 Lake City Way NE, Seattle, WA 98125, USA","1157 N 130th St, Seattle, WA 98133, USA",2013 Toyota Prius (New),business_personal_trip_log_01_09_2024_12_00am_PST-01_10_2024_12_00am_PST.csv
1/9/24,4:48:48 PM,1/9/24,5:02:05 PM,2,b,,"917 N 130th St, Seattle, WA 98133, USA","15005 Aurora Ave N, Shoreline, WA 98133, USA",2013 Toyota Prius (New),business_personal_trip_log_01_09_2024_12_00am_PST-01_10_2024_12_00am_PST.csv
1/9/24,5:05:07 PM,1/9/24,5:06:15 PM,0,b,,"15001 Aurora Ave N, Shoreline, WA 98133, USA","14525 Aurora Ave N, Shoreline, WA 98133, USA",2013 Toyota Prius (New),business_personal_trip_log_01_09_2024_12_00am_PST-01_10_2024_12_00am_PST.csv
1/9/24,5:08:32 PM,1/9/24,5:44:00 PM,11.1,b,,"14356 Aurora Ave N, Seattle, WA 98133, USA","20019 6 W, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_09_2024_12_00am_PST-01_10_2024_12_00am_PST.csv
1/10/24,9:59:30 AM,1/10/24,10:37:27 AM,29.04,p,,"20019 6 W, Lynnwood, WA 98036, USA","4050 Maple Valley Hwy, Renton, WA 98058, USA",2013 Toyota Prius (New),business_personal_trip_log_01_10_2024_12_00am_PST-01_11_2024_12_00am_PST.csv
1/10/24,3:42:44 PM,1/10/24,4:19:33 PM,17,p,,"4050 Maple Valley Hwy, Renton, WA 98058, USA","9224 Slater Ave NE, Kirkland, WA 98033, USA",2013 Toyota Prius (New),business_personal_trip_log_01_10_2024_12_00am_PST-01_11_2024_12_00am_PST.csv
1/10/24,4:23:41 PM,1/10/24,4:23:48 PM,0,p,,"I-405, Kirkland, WA 98033, USA","I-405, Kirkland, WA 98033, USA",2013 Toyota Prius (New),business_personal_trip_log_01_10_2024_12_00am_PST-01_11_2024_12_00am_PST.csv
1/10/24,4:26:21 PM,1/10/24,4:29:27 PM,0,p,,"I-405, Kirkland, WA 98033, USA","11834 NE 90th St, Kirkland, WA 98033, USA",2013 Toyota Prius (New),business_personal_trip_log_01_10_2024_12_00am_PST-01_11_2024_12_00am_PST.csv
1/10/24,4:59:55 PM,1/10/24,5:04:03 PM,1,p,,"11834 NE 90th St, Kirkland, WA 98033, USA","I-405, Kirkland, WA 98033, USA",2013 Toyota Prius (New),business_personal_trip_log_01_10_2024_12_00am_PST-01_11_2024_12_00am_PST.csv
1/10/24,5:06:03 PM,1/10/24,5:48:45 PM,12.01,p,,"I-405, Kirkland, WA 98033, USA","20019 6 W, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_10_2024_12_00am_PST-01_11_2024_12_00am_PST.csv
1/11/24,9:50:04 AM,1/11/24,10:06:35 AM,8.01,p,,"20019 6 W, Lynnwood, WA 98036, USA","10601 47th Pl W, Mukilteo, WA 98275, USA",2013 Toyota Prius (New),business_personal_trip_log_01_11_2024_12_00am_PST-01_12_2024_12_00am_PST.csv
1/11/24,11:38:12 AM,1/11/24,11:54:03 AM,8.1,p,,"4500 Harbour Pointe Blvd, Mukilteo, WA 98275, USA","20019 6 W, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_11_2024_12_00am_PST-01_12_2024_12_00am_PST.csv
1/11/24,12:14:11 PM,1/11/24,12:26:29 PM,4,p,,"20019 6 W, Lynnwood, WA 98036, USA","1018 164th St SE, Mill Creek, WA 98012, USA",2013 Toyota Prius (New),business_personal_trip_log_01_11_2024_12_00am_PST-01_12_2024_12_00am_PST.csv
1/11/24,1:18:11 PM,1/11/24,1:22:00 PM,0,p,,"1018 164th St SE, Mill Creek, WA 98012, USA","16300 Mill Creek Blvd, Mill Creek, WA 98012, USA",2013 Toyota Prius (New),business_personal_trip_log_01_11_2024_12_00am_PST-01_12_2024_12_00am_PST.csv
1/11/24,1:28:33 PM,1/11/24,1:29:48 PM,0.01,p,,"16232 Bothell Everett Hwy, Mill Creek, WA 98012, USA","16222 Bothell Everett Hwy, Mill Creek, WA 98012, USA",2013 Toyota Prius (New),business_personal_trip_log_01_11_2024_12_00am_PST-01_12_2024_12_00am_PST.csv
1/11/24,1:36:05 PM,1/11/24,1:36:59 PM,0,p,,"16320 Bothell-Everett Hwy, Bothell, WA 98012, USA","16320 Bothell Everett Hwy, Mill Creek, WA 98012, USA",2013 Toyota Prius (New),business_personal_trip_log_01_11_2024_12_00am_PST-01_12_2024_12_00am_PST.csv
1/11/24,1:39:19 PM,1/11/24,1:57:59 PM,4.01,b,,"16320 Bothell Everett Hwy, Mill Creek, WA 98012, USA","4025 164th St SW, Lynnwood, WA 98087, USA",2013 Toyota Prius (New),business_personal_trip_log_01_11_2024_12_00am_PST-01_12_2024_12_00am_PST.csv
1/11/24,2:20:34 PM,1/11/24,2:42:29 PM,6,b,,"4025 164th St SW, Lynnwood, WA 98087, USA","16411 Larch Way, Lynnwood, WA 98037, USA",2013 Toyota Prius (New),business_personal_trip_log_01_11_2024_12_00am_PST-01_12_2024_12_00am_PST.csv
1/11/24,2:45:08 PM,1/11/24,2:57:54 PM,3,b,,"16411 Larch Way, Lynnwood, WA 98037, USA","15600 Country Club Dr, Mill Creek, WA 98012, USA",2013 Toyota Prius (New),business_personal_trip_log_01_11_2024_12_00am_PST-01_12_2024_12_00am_PST.csv
